Category,Board / Use,Reference,Item,Manufacturer,MPN / Exact spec,Qty per CalcText,Qty for 2,Owned?,Qty to Buy,Notes
HOLD - optional consumable,Power,BT1,AAA alkaline battery,TBD local,Fresh AAA alkaline,1,2,1 on hand,HOLD / maybe,Fresh AAA batteries are not part of the current funding request. Use the battery already on hand for initial work; add/fund fresh batteries later only if actually required.
HOLD - optional consumable,Assembly / cleanup,—,99% IPA / electronics cleaner,TBD local,99% isopropyl alcohol or suitable electronics cleaner,Shared,Shared,No,HOLD / outside grant,Not part of the current Macondo funding request. Source locally later if needed for cleanup; do not delay review/submission over this.
Staged mechanical - funded / purchase later,LCD interposer,PCB,Final LCD interposer PCB fabrication,JLCPCB,"Estimated same fabrication tier as mainboard: <100x100mm, 0.8mm, 2-layer, 1oz copper, green soldermask, white silkscreen, HASL with lead",1,2,No,5 later,"Foreseeable complete-build cost and INCLUDED in Macondo funding request, but do not order yet. Final geometry is set after fitting the physical HLCD290TB and locating its natural FPC landing point. Estimated landed cost: £3.14 JLCPCB + £5.95 Ship2Me = £9.09."
Staged mechanical - funded / purchase later,Display link,FFC,10-way FFC cable,eBay listing,"10-core, 0.5mm pitch, 30mm length, same-side contacts",1,2,No,2 later,"Foreseeable complete-build cost and INCLUDED in Macondo funding request, but purchase after physical fit. Expected run is about 20-30mm; 30mm same-side cable selected. Current checkout for 2 cables: £6.06 items + £5.24 postage - £0.12 discount = £11.18 delivered to Jersey."
Staged mechanical - funded / purchase later,Display retention,FOAM,PORON / low-force retention foam,Rogers / iParts4U,4790-79; 3mm x 20m TapeBase reel; soft black display back pad foam,4 small pads,8 small pads,No,1 reel later,Foreseeable complete-build cost and INCLUDED in Macondo funding request. Rogers 4790-79 3mm foam selected as the retention material. Current iParts4U Jersey checkout total: £7.46 delivered (VAT excluded; free standard delivery). Intended arrangement: four small corner pads per LCD; final pad size/placement set after physical fit.
Procurement total,DigiKey order,—,DigiKey cart total,DigiKey,Current checkout total: $97.83,—,—,No,1 order,"COST EVIDENCE ONLY - not a separate physical BOM item. Direct to Jersey; FedEx International Priority FREE; shipping $0.00. Covers Wio x2, TPS61299 x4, PCAL9535A x3, Hirose 10-pin x5, Hirose 24-pin x3, TDK 1uF x25, 0ohm 0402 x10, Chip Quik flux x1, Extech MN35 x1."
Procurement total,LCSC order,—,LCSC inductor order total,LCSC,Current checkout total: $7.91,—,—,No,1 order,COST EVIDENCE ONLY. Merchandise $0.45 + Global Direct Standard Line $4.46 + handling $3.00. Ships to Ship2Me UK.
Procurement total,LCSC forwarding,—,Ship2Me forwarding for LCSC,Ship2Me,Small packet: £5.95,—,—,No,1 delivery,COST EVIDENCE ONLY. 25x15x10cm small-packet service.
Procurement total,JLCPCB order,—,JLCPCB mainboard order total,JLCPCB,Current checkout grand total: £3.14,—,—,No,1 order,COST EVIDENCE ONLY. Merchandise £1.50 + shipping £1.12 + customs duties/taxes £0.52. Ships to Ship2Me UK.
Procurement total,JLCPCB forwarding,—,Ship2Me forwarding for JLCPCB,Ship2Me,Small packet: £5.95,—,—,No,1 delivery,COST EVIDENCE ONLY. 25x15x10cm small-packet service.
Procurement total,Hicenda order,—,Hicenda display order total,Hicenda,$60.90 quoted total,—,—,No,1 order,COST EVIDENCE ONLY. 2x HLCD290TB at $5.95 each + DHL $49 = $60.90 direct to Jersey. Final PI received with correct Jersey delivery address and destination.
Procurement total,eBay order,—,Second donor calculator order total,eBay / RN Online,£14.99,—,—,No,1 order,COST EVIDENCE ONLY. UK postage free; ships to Ship2Me.
Procurement total,eBay forwarding,—,Ship2Me forwarding for donor calculator,Ship2Me,Small packet: £5.95,—,—,No,1 delivery,COST EVIDENCE ONLY. Donor calculator fits the 25x15x10cm small-packet tier.
Procurement estimate,LCD interposer PCB order,—,Deferred LCD interposer PCB fabrication estimate,JLCPCB,Estimated JLCPCB checkout: £3.14,—,—,No,1 later order,FUNDING ESTIMATE ONLY. Interposer remains <100x100mm and is expected to use the same basic fabrication tier as the mainboard. Purchase deferred until physical display fit fixes the final board geometry.
Procurement estimate,LCD interposer forwarding,—,Ship2Me forwarding estimate for LCD interposer PCBs,Ship2Me,Small packet: £5.95,—,—,No,1 later delivery,FUNDING ESTIMATE ONLY. Same 25x15x10cm small-packet tier used for the mainboard PCBs.
Procurement estimate,Display FFC later order,—,2x 30mm same-side 10-core FFC delivered,eBay listing,Current checkout total: £11.18,—,—,No,1 later order,FUNDING ESTIMATE ONLY. 2 cables: £6.06 items + £5.24 postage - £0.12 discount = £11.18 delivered to Jersey.
Procurement total,PORON order,—,Rogers 4790-79 3mm x 20m TapeBase reel,iParts4U,Current checkout total: £7.46,—,—,No,1 order,COST EVIDENCE ONLY. Jersey checkout shows £7.46 total with VAT excluded and free standard delivery. One 3mm x 20m reel is far more than required for the small LCD retention pads.
Procurement summary,Current foreseeable build funding stack,—,Current mixed-currency funding total,—,$166.64 + £63.71,—,—,—,—,"Includes DigiKey, LCSC + forwarding, JLCPCB mainboards + forwarding, Hicenda, eBay donor + forwarding, the foreseeable later interposer PCB (£9.09 landed), FFC order (£11.18 delivered), and Rogers PORON (£7.46 delivered). Fresh AAA batteries and IPA/cleaner remain outside the current grant."
